global_iteration,energy_per_site
2819,-1.99432010
2820,-1.99436645
2821,-1.99411524
2822,-1.99424323
2823,-1.99406492
2824,-1.99447221
2825,-1.99445274
2826,-1.99429479
2827,-1.99457039
2828,-1.99419948
2829,-1.99406716
2830,-1.99431003
2831,-1.99463084
2832,-1.99457920
2833,-1.99446576
2834,-1.99419449
2835,-1.99468692
2836,-1.99469122
2837,-1.99471083
2838,-1.99429106
2839,-1.99460776
2840,-1.99429536
2841,-1.99442159
2842,-1.99441858
2843,-1.99426351
2844,-1.99453515
2845,-1.99464870
2846,-1.99451059
2847,-1.99422357
2848,-1.99429929
2849,-1.99423832
2850,-1.99466054
2851,-1.99399907
2852,-1.99456482
2853,-1.99432484
2854,-1.99457362
2855,-1.99468072
2856,-1.99463559
2857,-1.99464010
2858,-1.99459613
2859,-1.99461719
2860,-1.99432413
2861,-1.99446928
2862,-1.99446892
2863,-1.99457843
2864,-1.99458831
2865,-1.99441252
2866,-1.99468815
2867,-1.99436115
2868,-1.99436808
2869,-1.99459336
2870,-1.99452111
2871,-1.99432521
2872,-1.99468937
2873,-1.99466235
2874,-1.99438041
2875,-1.99465885
2876,-1.99408581
2877,-1.99438325
2878,-1.99466783
2879,-1.99439309
2880,-1.99401175
2881,-1.99460479
2882,-1.99477630
2883,-1.99468346
2884,-1.99411947
2885,-1.99433288
2886,-1.99466198
2887,-1.99461040
2888,-1.99423409
2889,-1.99470815
2890,-1.99441160
2891,-1.99427976
2892,-1.99473687
2893,-1.99420632
2894,-1.99475626
2895,-1.99432768
2896,-1.99436382
2897,-1.99478470
2898,-1.99447870
2899,-1.99389408
2900,-1.99453946
2901,-1.99446979
2902,-1.99426588
2903,-1.99450297
2904,-1.99455323
2905,-1.99426893
2906,-1.99433201
2907,-1.99438075
2908,-1.99454554
2909,-1.99428100
2910,-1.99414248
2911,-1.99431315
2912,-1.99470129
2913,-1.99451764
2914,-1.99463125
2915,-1.99438888
2916,-1.99434903
2917,-1.99456539
2918,-1.99454515
2919,-1.99458500
2920,-1.99431355
2921,-1.99430180
2922,-1.99452836
2923,-1.99448569
2924,-1.99455660
2925,-1.99443142
2926,-1.99441720
2927,-1.99470353
2928,-1.99417667
2929,-1.99405819
2930,-1.99423936
2931,-1.99471418
2932,-1.99454268
2933,-1.99425292
2934,-1.99432343
2935,-1.99431508
2936,-1.99438901
2937,-1.99442315
2938,-1.99446201
2939,-1.99416893
2940,-1.99449888
2941,-1.99419533
2942,-1.99425279
2943,-1.99422485
2944,-1.99392812
2945,-1.99449337
2946,-1.99441806
2947,-1.99392680
2948,-1.99378514
2949,-1.99449748
2950,-1.99457409
2951,-1.99431903
2952,-1.99422708
2953,-1.99457658
2954,-1.99436219
2955,-1.99436941
2956,-1.99444113
2957,-1.99417555
2958,-1.99451351
2959,-1.99431215
2960,-1.99424502
2961,-1.99448663
2962,-1.99453406
2963,-1.99472027
2964,-1.99432568
2965,-1.99436443
2966,-1.99433088
2967,-1.99442935
2968,-1.99438799
2969,-1.99386846
2970,-1.99447085
2971,-1.99469812
2972,-1.99478015
2973,-1.99413782
2974,-1.99423658
2975,-1.99437298
2976,-1.99424531
2977,-1.99438295
2978,-1.99454470
2979,-1.99438419
2980,-1.99437160
2981,-1.99420555
2982,-1.99405663
2983,-1.99451461
2984,-1.99404817
2985,-1.99487616
2986,-1.99461249
2987,-1.99422765
2988,-1.99438352
2989,-1.99425177
2990,-1.99466173
2991,-1.99442376
2992,-1.99424989
2993,-1.99435497
2994,-1.99482688
2995,-1.99436110
2996,-1.99452134
2997,-1.99461688
2998,-1.99414964
2999,-1.99440722
3000,-1.99437159
