global_iteration,energy_per_site
2269,-1.99463022
2270,-1.99446233
2271,-1.99444923
2272,-1.99451769
2273,-1.99417016
2274,-1.99412391
2275,-1.99421179
2276,-1.99426305
2277,-1.99422429
2278,-1.99452930
2279,-1.99455931
2280,-1.99451753
2281,-1.99432119
2282,-1.99446341
2283,-1.99454128
2284,-1.99408852
2285,-1.99392772
2286,-1.99451009
2287,-1.99446520
2288,-1.99423375
2289,-1.99448607
2290,-1.99428535
2291,-1.99452888
2292,-1.99430739
2293,-1.99454377
2294,-1.99448362
2295,-1.99437165
2296,-1.99426268
2297,-1.99431916
2298,-1.99411028
2299,-1.99415336
2300,-1.99399935
2301,-1.99407631
2302,-1.99413278
2303,-1.99396358
2304,-1.99430594
2305,-1.99407887
2306,-1.99426576
2307,-1.99394839
2308,-1.99420917
2309,-1.99409985
2310,-1.99410282
2311,-1.99418550
2312,-1.99397303
2313,-1.99397379
2314,-1.99395482
2315,-1.99347844
2316,-1.99415213
2317,-1.99453104
2318,-1.99425355
2319,-1.99429221
2320,-1.99423169
2321,-1.99423832
2322,-1.99400587
2323,-1.99448864
2324,-1.99465009
2325,-1.99411691
2326,-1.99402957
2327,-1.99430922
2328,-1.99433871
2329,-1.99409667
2330,-1.99422716
2331,-1.99415782
2332,-1.99447924
2333,-1.99361304
2334,-1.99445645
2335,-1.99424622
2336,-1.99433988
2337,-1.99468352
2338,-1.99418403
2339,-1.99384713
2340,-1.99410628
2341,-1.99440254
2342,-1.99426455
2343,-1.99428605
2344,-1.99424788
2345,-1.99380638
2346,-1.99403856
2347,-1.99412451
2348,-1.99391291
2349,-1.99427993
2350,-1.99464725
2351,-1.99423178
2352,-1.99407221
2353,-1.99417031
2354,-1.99389475
2355,-1.99438696
2356,-1.99438906
2357,-1.99471897
2358,-1.99372962
2359,-1.99412880
2360,-1.99457740
2361,-1.99456135
2362,-1.99449271
2363,-1.99442261
2364,-1.99441322
2365,-1.99386910
2366,-1.99387545
2367,-1.99430489
2368,-1.99426873
2369,-1.99428117
2370,-1.99410616
2371,-1.99413112
2372,-1.99466432
2373,-1.99421311
2374,-1.99438163
2375,-1.99408581
2376,-1.99438664
2377,-1.99402359
2378,-1.99399076
2379,-1.99458794
2380,-1.99409773
2381,-1.99415409
2382,-1.99440368
2383,-1.99437323
2384,-1.99421135
2385,-1.99430643
2386,-1.99425335
2387,-1.99450131
2388,-1.99431930
2389,-1.99461630
2390,-1.99457871
2391,-1.99410764
2392,-1.99368108
2393,-1.99402004
2394,-1.99447481
2395,-1.99410029
2396,-1.99430617
2397,-1.99454083
2398,-1.99484472
2399,-1.99427211
2400,-1.99450293
2401,-1.99425466
2402,-1.99420324
2403,-1.99418796
2404,-1.99460881
2405,-1.99435059
2406,-1.99383729
2407,-1.99450136
2408,-1.99423237
2409,-1.99418171
2410,-1.99425157
2411,-1.99432642
2412,-1.99423431
2413,-1.99427367
2414,-1.99419478
2415,-1.99447963
2416,-1.99429220
2417,-1.99426481
2418,-1.99419613
2419,-1.99430270
2420,-1.99431734
2421,-1.99428281
2422,-1.99419077
2423,-1.99463616
2424,-1.99434147
2425,-1.99438419
2426,-1.99451161
2427,-1.99411392
2428,-1.99416879
2429,-1.99404182
2430,-1.99429004
2431,-1.99440998
2432,-1.99442372
2433,-1.99460176
2434,-1.99460435
2435,-1.99447751
2436,-1.99453769
2437,-1.99436888
2438,-1.99424936
2439,-1.99466691
2440,-1.99374688
2441,-1.99462147
2442,-1.99427809
2443,-1.99467630
2444,-1.99403041
2445,-1.99409505
2446,-1.99460232
2447,-1.99431496
2448,-1.99418740
2449,-1.99424529
2450,-1.99450701
2451,-1.99371922
2452,-1.99440771
2453,-1.99464570
2454,-1.99420047
2455,-1.99413035
2456,-1.99337145
2457,-1.99422060
2458,-1.99474274
2459,-1.99448320
2460,-1.99451134
2461,-1.99415026
2462,-1.99424573
2463,-1.99411507
2464,-1.99457900
2465,-1.99446369
2466,-1.99433709
2467,-1.99376659
2468,-1.99426445
2469,-1.99427549
2470,-1.99443216
2471,-1.99427371
2472,-1.99438983
2473,-1.99459946
2474,-1.99429276
2475,-1.99444716
2476,-1.99444557
2477,-1.99409364
2478,-1.99434813
2479,-1.99438526
2480,-1.99433668
2481,-1.99427930
2482,-1.99416227
2483,-1.99444866
2484,-1.99437956
2485,-1.99433211
2486,-1.99414360
2487,-1.99427543
2488,-1.99446305
2489,-1.99443263
2490,-1.99408647
2491,-1.99473218
2492,-1.99462527
2493,-1.99484608
2494,-1.99408768
2495,-1.99444434
2496,-1.99446322
2497,-1.99424904
2498,-1.99408124
2499,-1.99481745
2500,-1.99447146
