global_iteration,energy_per_site
2819,-1.99365684
2820,-1.99383523
2821,-1.99403809
2822,-1.99403555
2823,-1.99388970
2824,-1.99396636
2825,-1.99435961
2826,-1.99347698
2827,-1.99403516
2828,-1.99353772
2829,-1.99359610
2830,-1.99358018
2831,-1.99431049
2832,-1.99327326
2833,-1.99376455
2834,-1.99425789
2835,-1.99363498
2836,-1.99437273
2837,-1.99380908
2838,-1.99386940
2839,-1.99444837
2840,-1.99385506
2841,-1.99374366
2842,-1.99386390
2843,-1.99424653
2844,-1.99368483
2845,-1.99359995
2846,-1.99403193
2847,-1.99375046
2848,-1.99342775
2849,-1.99343179
2850,-1.99381979
2851,-1.99382776
2852,-1.99395893
2853,-1.99346529
2854,-1.99340802
2855,-1.99333451
2856,-1.99390515
2857,-1.99368543
2858,-1.99311440
2859,-1.99371356
2860,-1.99299417
2861,-1.99351520
2862,-1.99340392
2863,-1.99361406
2864,-1.99340528
2865,-1.99326687
2866,-1.99326404
2867,-1.99349057
2868,-1.99421765
2869,-1.99367683
2870,-1.99318445
2871,-1.99351949
2872,-1.99355824
2873,-1.99332975
2874,-1.99378426
2875,-1.99352100
2876,-1.99368228
2877,-1.99377409
2878,-1.99360218
2879,-1.99372765
2880,-1.99400961
2881,-1.99379716
2882,-1.99356155
2883,-1.99358872
2884,-1.99343848
2885,-1.99358591
2886,-1.99348533
2887,-1.99356199
2888,-1.99416173
2889,-1.99358657
2890,-1.99394087
2891,-1.99429579
2892,-1.99417490
2893,-1.99387144
2894,-1.99375699
2895,-1.99406027
2896,-1.99438575
2897,-1.99418323
2898,-1.99409296
2899,-1.99412706
2900,-1.99385274
2901,-1.99415530
2902,-1.99405253
2903,-1.99392113
2904,-1.99392407
2905,-1.99390389
2906,-1.99425569
2907,-1.99408338
2908,-1.99395270
2909,-1.99391223
2910,-1.99410596
2911,-1.99393471
2912,-1.99419099
2913,-1.99398346
2914,-1.99436987
2915,-1.99408196
2916,-1.99436034
2917,-1.99367074
2918,-1.99363850
2919,-1.99367937
2920,-1.99399511
2921,-1.99394880
2922,-1.99364567
2923,-1.99416514
2924,-1.99408102
2925,-1.99401662
2926,-1.99409790
2927,-1.99381561
2928,-1.99437934
2929,-1.99453941
2930,-1.99417861
2931,-1.99370916
2932,-1.99383210
2933,-1.99386454
2934,-1.99401294
2935,-1.99403888
2936,-1.99377192
2937,-1.99382154
2938,-1.99389662
2939,-1.99396268
2940,-1.99414739
2941,-1.99401017
2942,-1.99399272
2943,-1.99348664
2944,-1.99442097
2945,-1.99390056
2946,-1.99409848
2947,-1.99419980
2948,-1.99393100
2949,-1.99390400
2950,-1.99430079
2951,-1.99411072
2952,-1.99394117
2953,-1.99392650
2954,-1.99391273
2955,-1.99367252
2956,-1.99406446
2957,-1.99419853
2958,-1.99396668
2959,-1.99419231
2960,-1.99386495
2961,-1.99400864
2962,-1.99383240
2963,-1.99405923
2964,-1.99376978
2965,-1.99343408
2966,-1.99431856
2967,-1.99393438
