system,subset,steps,lambda,repeat_index,repeat_number,mean,std,count
tfim,early5,"1100,1200,1300,1400,1500",0.0001,3,4,0.013136249856955754,0.001874478873641839,5
tfim,early5,"1100,1200,1300,1400,1500",0.001,3,4,0.01397174950813367,0.0018096309452200424,5
tfim,early5,"1100,1200,1300,1400,1500",0.01,3,4,0.014573723106649275,0.002034514864036478,5
tfim,early5,"1100,1200,1300,1400,1500",0.1,3,4,0.01507389199259293,0.002475450041837636,5
tfim,late5,"1600,1700,1800,1900,2000",1e-08,3,4,0.00921828461863925,0.00079390522215475,5
tfim,late5,"1600,1700,1800,1900,2000",1e-07,3,4,0.008954543695428883,0.000806161963646562,5
tfim,late5,"1600,1700,1800,1900,2000",1e-06,3,4,0.007689296767440901,0.0007021007374977763,5
tfim,late5,"1600,1700,1800,1900,2000",1e-05,3,4,0.008292549495029587,0.0007914805092108388,5
tfim,late5,"1600,1700,1800,1900,2000",0.0001,3,4,0.009169388205449224,0.0008197098369911155,5
tfim,late5,"1600,1700,1800,1900,2000",0.001,3,4,0.010026981663355953,0.0007841376236053145,5
tfim,late5,"1600,1700,1800,1900,2000",0.01,3,4,0.010562206441941006,0.0007869672799209128,5
tfim,late5,"1600,1700,1800,1900,2000",0.1,3,4,0.010730545823091131,0.0008218402674700569,5
tfim,early5,"1100,1200,1300,1400,1500",1e-08,4,5,0.01409396696452984,0.0023139418540676963,5
tfim,early5,"1100,1200,1300,1400,1500",1e-07,4,5,0.01364748354277578,0.002209976067489735,5
tfim,early5,"1100,1200,1300,1400,1500",1e-06,4,5,0.011743099366500531,0.001961207367988196,5
tfim,early5,"1100,1200,1300,1400,1500",1e-05,4,5,0.012311872996237355,0.0020897299054788362,5
tfim,early5,"1100,1200,1300,1400,1500",0.0001,4,5,0.013172247867395803,0.002140602481069142,5
tfim,early5,"1100,1200,1300,1400,1500",0.001,4,5,0.013926885000905628,0.0021266398812148945,5
tfim,early5,"1100,1200,1300,1400,1500",0.01,4,5,0.014522166776986317,0.002276911534850017,5
tfim,early5,"1100,1200,1300,1400,1500",0.1,4,5,0.015093422808664558,0.0026614031162788183,5
tfim,late5,"1600,1700,1800,1900,2000",1e-08,4,5,0.009361240727935653,0.0009687633985092149,5
tfim,late5,"1600,1700,1800,1900,2000",1e-07,4,5,0.009074343886624347,0.0009465866584998178,5
tfim,late5,"1600,1700,1800,1900,2000",1e-06,4,5,0.007796678070490534,0.0008345972518119346,5
tfim,late5,"1600,1700,1800,1900,2000",1e-05,4,5,0.008406467877701265,0.0009198565496914556,5
tfim,late5,"1600,1700,1800,1900,2000",0.0001,4,5,0.0092795517677725,0.0009574040700083598,5
tfim,late5,"1600,1700,1800,1900,2000",0.001,4,5,0.010163897903891123,0.0009545817655723424,5
tfim,late5,"1600,1700,1800,1900,2000",0.01,4,5,0.010591519399443094,0.0009460904934393678,5
tfim,late5,"1600,1700,1800,1900,2000",0.1,4,5,0.010602321114074241,0.0008588028296856631,5
tfim,early5,"1100,1200,1300,1400,1500",1e-08,5,6,0.013875218124899252,0.002779320397121552,5
tfim,early5,"1100,1200,1300,1400,1500",1e-07,5,6,0.013468545473886647,0.0026888570650354586,5
