method,r_val_raw_mean,r_val_raw_std,var_hat_raw_mean,var_hat_raw_std
bagged@1e-03,0.010623433533408003,0.002165814459334055,0.00044071423578429463,7.408993823015665e-05
bagged@1e-04,0.00933348207483244,0.002051993661047393,0.0006131862671325133,0.00012658406554740011
bagged@1e-05,0.007750132808482279,0.0017896432636267201,0.0008514681626465304,0.00020387391878041905
bagged@1e-06,0.006166127135801902,0.0014863856563927622,0.0011713831629551863,0.0003047510388314604
bagged@1e-07,0.006272949865138924,0.0014420571915120277,0.0016594986143669936,0.0004237399203465816
single@lambda*,0.00969744594982904,0.002425792628328952,0.004705534221535973,0.0012441150917030335
bagged@lambda*,0.006166139932160092,0.0014863864931041744,0.001171394861171309,0.00030475200822367243
MS-SR-uniform,0.006874338773748874,0.0016018082564662937,0.0012104927805296451,0.0002861061726038697
MS-SR,0.006802216546115482,0.0015947381857504845,0.0013891327631036308,0.00029138079342490373
